,Name,Indian rupee,
459,4/30/2021,81075.7,
460,5/31/2021,81675.7,
461,6/30/2021,80241.9,
462,7/31/2021,81223,
463,8/31/2021,79679.7,
464,9/30/2021,82041.5,
465,10/31/2021,84755.7,
466,11/30/2021,83256.2,
467,12/31/2021,83181.1,
468,1/31/2022,81106.3,
469,2/28/2022,84741.3,
470,3/31/2022,85757.5,
471,4/30/2022,86188.7,
472,5/31/2022,87713.1,
473,6/30/2022,88017.8,
474,7/31/2022,86888.1,
475,8/31/2022,85122.9,
476,9/30/2022,87631.9,
477,10/31/2022,89623.8,
