Date,Price
24/05/2016,2941
23/05/2016,2965
22/05/2016,2969
21/05/2016,2969
20/05/2016,2973
19/05/2016,2969
18/05/2016,2997
17/05/2016,3010
16/05/2016,3000
15/05/2016,3003
14/05/2016,3003
13/05/2016,2994
12/5/2016,2995
11/5/2016,3000
10/5/2016,2967
9/5/2016,2986
8/5/2016,3038
7/5/2016,3038
6/5/2016,3039
5/5/2016,2991
4/5/2016,3001
3/5/2016,3021
2/5/2016,3030
1/5/2016,3027
30/06/2016,3122
29/06/2016,3133
28/06/2016,3129
27/06/2016,3159
26/06/2016,3140
25/06/2016,3140
24/06/2016,3129
23/06/2016,2996
22/06/2016,3011
21/06/2016,3031
20/06/2016,3057
19/06/2016,3060
18/06/2016,3060
17/06/2016,3049
16/06/2016,3121
15/06/2016,3036
14/06/2016,3054
13/06/2016,3037
12/6/2016,3008
11/6/2016,3008
10/6/2016,3007
9/6/2016,2983
8/6/2016,2967
7/6/2016,2929
6/6/2016,2944
5/6/2016,2939
4/6/2016,2939
3/6/2016,2908
2/6/2016,2859
1/6/2016,2867
31/07/2016,3155
30/07/2016,3155
29/07/2016,3126
28/07/2016,3108
27/07/2016,3096
26/07/2016,3087
25/07/2016,3074
24/07/2016,3087
23/07/2016,3087
22/07/2016,3086
21/07/2016,3082
20/07/2016,3080
19/07/2016,3108
18/07/2016,3103
17/07/2016,3098
16/07/2016,3098
15/07/2016,3087
14/07/2016,3087
13/07/2016,3115
12/7/2016,3134
11/7/2016,3166
10/7/2016,3172
9/7/2016,3172
8/7/2016,3160
7/7/2016,3176
6/7/2016,3225
5/7/2016,3169
4/7/2016,3181
3/7/2016,3146
2/7/2016,3146
1/7/2016,3149
31/08/2016,3074
30/08/2016,3094
29/08/2016,3100
28/08/2016,3099
27/08/2016,3099
26/08/2016,3117
25/08/2016,3093
24/08/2016,3109
23/08/2016,3139
22/08/2016,3133
21/08/2016,3140
20/08/2016,3140
19/08/2016,3145
18/08/2016,3144
17/08/2016,3139
16/08/2016,3139
15/08/2016,3122
14/08/2016,3122
13/08/2016,3122
12/8/2016,3152
11/8/2016,3144
10/8/2016,3133
9/8/2016,3125
8/8/2016,3117
7/8/2016,3105
6/8/2016,3105
5/8/2016,3114
4/8/2016,3166
3/8/2016,3165
2/8/2016,3180
1/8/2016,3145
30/09/2016,3108
29/09/2016,3102
28/09/2016,3094
27/09/2016,3103
26/09/2016,3132
25/09/2016,3128
24/09/2016,3128
23/09/2016,3133
22/09/2016,3123
21/09/2016,3117
20/09/2016,3092
19/09/2016,3089
18/09/2016,3081
17/09/2016,3081
16/09/2016,3090
15/09/2016,3097
14/09/2016,3105
13/09/2016,3115
12/9/2016,3108
11/9/2016,3122
10/9/2016,3122
9/9/2016,3126
8/9/2016,3130
7/9/2016,3130
6/9/2016,3114
5/9/2016,3092
4/9/2016,3092
3/9/2016,3092
2/9/2016,3084
1/9/2016,3084
31/10/2016,3006
30/10/2016,3006
29/10/2016,3008
28/10/2016,2993
27/10/2016,2991
26/10/2016,2989
25/10/2016,2986
24/10/2016,2978
23/10/2016,2995
22/10/2016,2995
21/10/2016,2992
20/10/2016,2993
19/10/2016,2991
18/10/2016,2975
17/10/2016,2968
16/10/2016,2966
15/10/2016,2966
14/10/2016,2959
13/10/2016,2978
12/10/2016,2965
11/10/2016,2968
10/10/2016,2968
9/10/2016,2958
8/10/2016,2958
7/10/2016,2965
6/10/2016,2961
5/10/2016,2990
4/10/2016,3018
3/10/2016,3068
2/10/2016,3074
1/10/2016,3074
30/11/2016,2849
29/11/2016,2876
28/11/2016,2868
27/11/2016,2860
26/11/2016,2860
25/11/2016,2859
24/11/2016,2872
23/11/2016,2887
22/11/2016,2917
21/11/2016,2907
20/11/2016,2894
19/11/2016,2894
18/11/2016,2894
17/11/2016,2929
16/11/2016,2938
15/11/2016,2933
14/11/2016,2935
13/11/2016,2940
12/11/2016,2940
11/11/2016,2968
10/11/2016,2995
9/11/2016,3015
8/11/2016,3002
7/11/2016,3017
6/11/2016,3056
5/11/2016,3056
4/11/2016,3056
3/11/2016,3045
2/11/2016,3053
1/11/2016,3024
31/12/2016,2745
30/12/2016,2757
29/12/2016,2735
28/12/2016,2726
27/12/2016,2723
26/12/2016,2697
25/12/2016,2699
24/12/2016,2699
23/12/2016,2700
22/12/2016,2703
21/12/2016,2708
20/12/2016,2706
19/12/2016,2719
18/12/2016,2716
17/12/2016,2716
16/12/2016,2706
15/12/2016,2703
14/12/2016,2764
13/12/2016,2755
12/12/2016,2751
11/12/2016,2758
10/12/2016,2758
9/12/2016,2768
8/12/2016,2780
7/12/2016,2800
6/12/2016,2792
5/12/2016,2812
4/12/2016,2843
3/12/2016,2843
2/12/2016,2841
1/12/2016,2800
31/01/2017,2883
30/01/2017,2843
29/01/2017,2835
28/01/2017,2835
27/01/2017,2820
26/01/2017,2839
25/01/2017,2843
24/01/2017,2877
23/01/2017,2876
22/01/2017,2863
21/01/2017,2863
20/01/2017,2859
19/01/2017,2849
18/01/2017,2880
17/01/2017,2873
16/01/2017,2855
15/01/2017,2838
14/01/2017,2838
13/01/2017,2828
12/1/2017,2847
11/1/2017,2817
10/1/2017,2818
9/1/2017,2793
8/1/2017,2789
7/1/2017,2789
6/1/2017,2791
5/1/2017,2788
4/1/2017,2775
3/1/2017,2763
2/1/2017,2754
1/1/2017,2745
1/2/2017,2960
2/2/2017,2965
3/2/2017,2962
4/2/2017,2962
5/2/2017,2955
6/2/2017,2941
